index,race,gender,age,bbox,age_preds_fair,age_scores_fair
0,White,Male,25,"[1120, 98, 1258, 282, 0]",3,"[2.6546297e-07 5.4624725e-05 5.5567376e-02 8.3917707e-01 1.0212618e-01
 3.0389007e-03 3.4513203e-05 9.8578801e-07 5.8385819e-08]"
1,White,Male,25,"[863, 115, 1012, 303, 0]",3,"[3.4227472e-05 1.2728179e-02 3.0973864e-01 5.0052917e-01 1.6423698e-01
 1.2643083e-02 8.7145723e-05 2.4768583e-06 9.9605622e-08]"
2,White,Male,25,"[221, 100, 365, 293, 0]",3,"[7.4119420e-08 4.5170818e-05 1.1226233e-01 8.2807457e-01 5.8626350e-02
 9.8607689e-04 5.3756130e-06 8.6621085e-08 5.1739821e-09]"
3,White,Male,25,"[566, 71, 708, 264, 0]",3,"[1.4455284e-06 3.9088263e-04 1.0860543e-01 7.0317817e-01 1.8045530e-01
 7.3279189e-03 4.0305404e-05 6.2152787e-07 3.2755199e-08]"
