index,race,gender,age,bbox,age_preds_fair,age_scores_fair
0,East Asian,Female,15,"[140, 226, 208, 299, 0]",2,"[4.8868649e-05 2.1278743e-02 5.0566918e-01 4.7014403e-01 2.8341981e-03
 2.4925072e-05 8.8276202e-08 8.3889464e-09 1.1740782e-09]"
1,East Asian,Female,25,"[545, 177, 616, 279, 0]",3,"[4.67980612e-07 1.55977701e-04 9.85822231e-02 8.72716129e-01
 2.83527635e-02 1.91868152e-04 5.72482463e-07 1.47683386e-08
 6.96562863e-10]"
2,East Asian,Male,25,"[311, 139, 390, 238, 0]",3,"[4.8265618e-04 1.4782420e-02 1.1025850e-01 7.0342910e-01 1.5611842e-01
 1.4217235e-02 6.0681422e-04 8.1691913e-05 2.3186536e-05]"
3,East Asian,Female,25,"[826, 64, 856, 97, 0]",3,"[1.4097986e-04 2.9518462e-03 9.4393767e-02 7.1075004e-01 1.8429033e-01
 7.2315750e-03 2.0760152e-04 3.0040028e-05 3.8406906e-06]"
4,White,Female,25,"[822, 268, 882, 333, 0]",3,"[6.7728055e-05 4.2455769e-03 3.0861747e-02 4.7570103e-01 2.2320262e-01
 2.1307223e-01 4.3073691e-02 6.2702675e-03 3.5051473e-03]"
