index,race,gender,age,bbox,age_preds_fair,age_scores_fair
0,White,Male,25,"[835, 205, 943, 351, 0]",3,"[4.3160597e-07 3.6553451e-04 3.5561144e-01 6.2091577e-01 2.2538908e-02
 5.6298787e-04 4.6536179e-06 2.4986323e-07 2.3449889e-08]"
1,White,Female,25,"[293, 111, 406, 263, 0]",3,"[6.4977035e-06 4.0939907e-04 3.5569374e-02 7.0548600e-01 2.2601201e-01
 3.0105244e-02 2.2380075e-03 1.5559289e-04 1.7891116e-05]"
2,White,Male,35,"[925, 117, 1021, 257, 0]",4,"[1.2546817e-04 1.4230843e-03 2.2056337e-02 3.0283609e-01 4.8862913e-01
 1.4985833e-01 3.1397123e-02 3.1708111e-03 5.0370750e-04]"
3,White,Female,25,"[568, 241, 699, 435, 0]",3,"[1.1982784e-05 3.5210734e-03 8.3496094e-02 7.4119669e-01 1.6298957e-01
 8.6442009e-03 1.3580747e-04 3.9567294e-06 6.0843035e-07]"
4,East Asian,Male,25,"[79, 42, 148, 133, 0]",3,"[2.5631058e-01 1.6974421e-01 4.4032175e-02 3.4865507e-01 1.4976291e-01
 2.6989486e-02 3.2721295e-03 9.2412601e-04 3.0926266e-04]"
